term                df        offset    
uptak               2         5434      
urgent              1         5436      
us                  15        5437      
usual               2         5452      
utterli             1         5454      
vaccin              30        5455      
vallanc             1         5485      
van                 1         5486      
vascular            1         5487      
vastli              1         5488      
vax                 3         5489      
vaxx                1         5492      
venu                1         5493      
veri                1         5494      
version             1         5495      
viewer              1         5496      
violent             1         5497      
virgin              1         5498      
viru                4         5499      
visit               2         5503      
vomit               1         5505      
vote                2         5506      
votefordout2022     1         5508      
voter               2         5509      
vow                 2         5511      
vu                  2         5513      
vulner              4         5515      
wa                  18        5519      
wai                 7         5537      
wait                5         5544      
wal                 1         5549      
wale                1         5550      
walk                3         5551      
wane                1         5554      
wanna               1         5555      
want                11        5556      
warm                1         5567      
warn                2         5568      
wasn't              2         5570      
we                  44        5572      
we'll               1         5616      
we'r                4         5617      
we'v                2         5621      
weapon              1         5623      
weaponri            1         5624      
wear                3         5625      
weed                1         5628      
week                12        5629      
weekend             1         5641      
weight              1         5642      
welcom              4         5643      
well                3         5647      
wenliang            1         5650      
went                3         5651      
were                13        5654      
weren't             1         5667      
west                1         5668      
what                10        5669      
what'               1         5679      
whatev              1         5680      
whatsoev            2         5681      
when                16        5683      
where               1         5699      
which               6         5700      
while               3         5706      
whilst              1         5709      
white               2         5710      
whitti              2         5712      
who                 23        5714      
who'v               2         5737      
whoever             1         5739      
whole               1         5740      
why                 11        5741      
wide                5         5752      
wildfir             1         5757      
will                27        5758      
william             1         5785      
win                 3         5786      
winchest            1         5789      
winter              1         5790      
wish                1         5791      
with                41        5792      
within              1         5833      
without             4         5834      
wk                  1         5838      
woman               1         5839      
won                 1         5840      
won't               1         5841      
wonder              2         5842      
woodstock           1         5844      
word                3         5845      
work                6         5848      
worker              1         5854      
workout             1         5855      
world               3         5856      
worldview           1         5859      
worldwid            1         5860      
worri               1         5861      
wors                1         5862      
worsen              1         5863      
worst               1         5864      
worth               1         5865      
would               4         5866      
write               5         5870      
wrong               1         5875      
wtf                 1         5876      
wuhan               1         5877      
wwii                1         5878      
y.o                 1         5879      
yamani              3         5880      
ye                  1         5883      
yeah                3         5884      
year                15        5887      
yesterdai           6         5902      
yet                 6         5908      
yknow               1         5914      
york                1         5915      
you                 43        5916      
you'd               1         5959      
you'll              3         5960      
you'r               6         5963      
you'v               2         5969      
young               1         5971      
your                13        5972      
yourself            1         5985      
zealand             1         5986      
zello               1         5987      
zero                4         5988      
ziad                1         5992      
zoe                 1         5993      
