term                df        offset    
cruel               1         1384      
cruelti             1         1385      
cse                 1         1386      
ct                  2         1387      
cult                2         1389      
cure                2         1391      
current             4         1393      
curv                1         1397      
cut                 1         1398      
dad                 1         1399      
dai                 16        1400      
daili               2         1416      
damag               2         1418      
damn                1         1420      
danc                1         1421      
danger              1         1422      
dare                1         1423      
data                2         1424      
daughter'           1         1426      
dead                3         1427      
deadli              1         1430      
deadlinewh          1         1431      
deaf                1         1432      
dear                2         1433      
death               10        1435      
debat               1         1445      
decemb              3         1446      
decid               1         1449      
decis               3         1450      
declar              3         1453      
declin              1         1456      
dedic               1         1457      
deep                1         1458      
deepli              4         1459      
def                 1         1463      
defeat              3         1464      
defend              1         1467      
degre               1         1468      
dehydr              1         1469      
deliber             2         1470      
deliv               1         1472      
dem                 1         1473      
demand              4         1474      
dementia            1         1478      
democrat            3         1479      
deni                1         1482      
denial              1         1483      
denmark             4         1484      
dentist             1         1488      
depriv              1         1489      
deserv              2         1490      
design              1         1492      
desper              1         1493      
despic              1         1494      
detour              1         1495      
develop             2         1496      
di                  8         1498      
diagnosi            1         1506      
diarrhoea           1         1507      
dick                2         1508      
dictat              1         1510      
did                 8         1511      
didn't              8         1519      
die                 2         1527      
differ              1         1529      
disappear           1         1530      
disappoint          1         1531      
disastr             1         1532      
disciplin           1         1533      
discov              1         1534      
discrimin           1         1535      
diseas              3         1536      
dismiss             1         1539      
displai             1         1540      
disrupt             1         1541      
distanc             1         1542      
distract            1         1543      
distribut           2         1544      
distrust            1         1546      
divid               1         1547      
divis               1         1548      
dm                  1         1549      
dna                 1         1550      
do                  22        1551      
doctor              3         1573      
document            1         1576      
doe                 2         1577      
doesn't             4         1579      
doesnt              1         1583      
dog                 1         1584      
dollar              1         1585      
dom                 1         1586      
domest              1         1587      
don't               15        1588      
done                6         1603      
dont                1         1609      
dose                1         1610      
doubl               3         1611      
doug                1         1614      
down                12        1615      
dr                  4         1627      
drama               1         1631      
dresden             1         1632      
drive               1         1633      
driven              2         1634      
drjasonjohnson      1         1636      
drop                3         1637      
drug                1         1640      
dry                 1         1641      
due                 5         1642      
dure                5         1647      
dust                1         1652      
dy                  5         1653      
e.g                 1         1658      
each                1         1659      
eager               1         1660      
earli               7         1661      
earnest             1         1668      
earth               1         1669      
eas                 1         1670      
eat                 2         1671      
econom              1         1673      
educ                1         1674      
effect              4         1675      
ego                 1         1679      
either              2         1680      
elderli             5         1682      
elimin              1         1687      
emerg               1         1688      
employe             5         1689      
enabl               1         1694      
end                 17        1695      
enemi               1         1712      
enlarg              1         1713      
enter               3         1714      
entir               1         1717      
entri               1         1718      
epidemiologist      1         1719      
episod              1         1720      
equiti              1         1721      
escap               1         1722      
especi              2         1723      
essenti             1         1725      
establish           1         1726      
etc                 3         1727      
ethic               1         1730      
evalu               1         1731      
even                6         1732      
event               1         1738      
eventu              1         1739      
ever                6         1740      
everi               5         1746      
everyon             3         1751      
everyth             2         1754      
evid                2         1756      
evil                1         1758      
evolut              1         1759      
evolv               3         1760      
exam                1         1763      
examin              1         1764      
exceedingli         1         1765      
except              1         1766      
excess              1         1767      
excit               1         1768      
exist               4         1769      
expect              1         1773      
experienc           1         1774      
expert              2         1775      
explain             3         1777      
expos               3         1780      
extra               2         1783      
extrem              2         1785      
extremist           1         1787      
ey                  1         1788      
eyebrow             1         1789      
f                   1         1790      
face                3         1791      
fact                7         1794      
fail                5         1801      
fairli              2         1806      
fall                1         1808      
fals                1         1809      
famili              1         1810      
far                 2         1811      
fascist             1         1813      
fast                2         1814      
fatigu              1         1816      
fauci               4         1817      
favourit            1         1821      
fda                 1         1822      
fear                1         1823      
februari            3         1824      
fed                 1         1827      
feder               2         1828      
feel                5         1830      
fever               1         1835      
few                 2         1836      
fight               2         1838      
file                1         1840      
film                1         1841      
final               2         1842      
financ              1         1844      
find                3         1845      
finish              1         1848      
fire                3         1849      
firm                3         1852      
first               7         1855      
five                1         1862      
flash               1         1863      
flatten             1         1864      
flaw                3         1865      
fleet               1         1868      
flight              2         1869      
flood               1         1871      
flout               2         1872      
flu                 5         1874      
folli               1         1879      
follow              3         1880      
food                2         1883      
footbal             1         1885      
for                 64        1886      
forb                2         1950      
forc                1         1952      
forcefulli          1         1953      
ford                1         1954      
forget              1         1955      
forgiven            1         1956      
form                1         1957      
forward             1         1958      
fought              1         1959      
found               2         1960      
founder             1         1962      
four                1         1963      
frankfurt           1         1964      
fraud               2         1965      
free                3         1967      
freedom             5         1970      
freedomconvoy2022   1         1975      
friend              2         1976      
frighten            1         1978      
from                34        1979      
fuck                1         2013      
fuell               1         2014      
full                2         2015      
fulli               2         2017      
fund                5         2019      
funni               1         2024      
further             1         2025      
gaetz               1         2026      
gag                 1         2027      
gai                 1         2028      
gain                1         2029      
game                8         2030      
gaslight            2         2038      
gather              1         2040      
gaytodai            1         2041      
gdp                 1         2042      
gener               3         2043      
genom               1         2046      
genuin              1         2047      
germani             1         2048      
get                 25        2049      
ghana               1         2074      
give                8         2075      
given               4         2083      
global              2         2087      
globe               1         2089      
glorifi             1         2090      
gnd                 1         2091      
go                  15        2092      
goal                1         2107      
gobolt              1         2108      
god                 5         2109      
gohmert             1         2114      
gone                2         2115      
gonna               1         2117      
good                2         2118      
gop                 1         2120      
got                 9         2121      
gotta               1         2130      
gotten              2         2131      
gov't               1         2133      
govern              12        2134      
government'         1         2146      
govt                1         2147      
graphic             1         2148      
great               2         2149      
greater             1         2151      
green               1         2152      
grifter             1         2153      
grown               1         2154      
guard               1         2155      
guess               1         2156      
gui                 1         2157      
guis                1         2158      
gym                 1         2159      
ha                  28        2160      
hack                1         2188      
had                 14        2189      
haircut             1         2203      
hall                1         2204      
hand                2         2205      
handl               1         2207      
hang                1         2208      
happen              7         2209      
happi               3         2216      
hard                1         2219      
harder              4         2220      
harm                2         2224      
harri               1         2226      
harshvardhan        1         2227      
have                43        2228      
haven't             2         2271      
he                  21        2273      
he'                 2         2294      
head                4         2296      
health              8         2300      
healthi             1         2308      
hear                2         2309      
heard               2         2311      
heart               4         2313      
heavi               2         2317      
held                1         2319      
helm                1         2320      
help                5         2321      
hemorrhag           1         2326      
henceforth          1         2327      
her                 3         2328      
here                2         2331      
hi                  11        2333      
hidden              1         2344      
high                3         2345      
highli              1         2348      
him                 3         2349      
himself             2         2352      
hire                1         2354      
hiv                 3         2355      
hoax                2         2358      
hold                2         2360      
holidai             1         2362      
home                7         2363      
honest              1         2370      
hope                5         2371      
horribl             1         2376      
hospit              6         2377      
hot                 1         2383      
hour                2         2384      
hous                6         2386      
household           1         2392      
how                 17        2393      
howard              1         2410      
howev               1         2411      
hrh                 1         2412      
hug                 1         2413      
huge                3         2414      
human               4         2417      
hundr               1         2421      
i                   43        2422      
i'd                 1         2465      
i'll                2         2466      
i'm                 4         2468      
i'v                 3         2472      
idea                1         2475      
idiot               1         2476      
if                  36        2477      
ignor               1         2513      
ill                 2         2514      
illeg               2         2516      
illumin             1         2518      
illus               1         2519      
im                  2         2520      
imagin              3         2522      
imam                3         2525      
imf0tv              1         2528      
immun               4         2529      
impact              2         2533      
import              1         2535      
impos               1         2536      
in                  109       2537      
inch                3         2646      
includ              5         2649      
incom               1         2654      
independ            2         2655      
indic               1         2657      
individu            1         2658      
indoctrin           1         2659      
inevit              1         2660      
infant              1         2661      
infect              7         2662      
inflat              1         2669      
inform              1         2670      
inhuman             1         2671      
initi               1         2672      
inocul              1         2673      
insan               1         2674      
instead             3         2675      
interpret           1         2678      
into                3         2679      
invest              1         2682      
investig            3         2683      
irrelev             1         2686      
irrespons           1         2687      
is                  94        2688      
island              1         2782      
isn't               3         2783      
isol                10        2786      
israel              1         2796      
issu                1         2797      
it                  37        2798      
it'                 15        2835      
itv                 1         2850      
jab                 3         2851      
jack                2         2854      
jan                 1         2856      
januari             2         2857      
japanes             1         2859      
jare                1         2860      
jewish              1         2861      
jk                  1         2862      
jkennei             1         2863      
job                 3         2864      
joe                 2         2867      
johnson             9         2869      
johnsonout17        1         2878      
joke                1         2879      
jon                 1         2880      
journal             1         2881      
journalist          1         2882      
just                19        2883      
justic              1         2902      
justintrudeau       1         2903      
keep                6         2904      
keir                1         2910      
kept                2         2911      
kick                1         2913      
kid                 7         2914      
kill                4         2921      
kimjongkook         1         2925      
kit                 1         2926      
knew                3         2927      
know                12        2930      
known               3         2942      
ks                  1         2945      
kucherov            2         2946      
kushner             1         2948      
kwarteng            1         2949      
kwasi               1         2950      
lab                 2         2951      
labor               1         2953      
lad                 1         2954      
lago                1         2955      
larg                2         2956      
laser               1         2958      
last                7         2959      
late                2         2966      
later               3         2968      
latest              1         2971      
laugh               1         2972      
lb                  1         2973      
lead                1         2974      
leader              1         2975      
learn               2         2976      
learner             1         2978      
least               4         2979      
left                1         2983      
legal               2         2984      
legisl              2         2986      
leno                1         2988      
less                1         2989      
let                 3         2990      
let'                3         2993      
level               3         2996      
li                  7         2999      
liber               3         3006      
lie                 1         3009      
life                2         3010      
lifesav             1         3012      
lift                4         3013      
light               1         3017      
lightheaded         1         3018      
like                8         3019      
lineup              2         3027      
link                1         3029      
list                1         3030      
listen              4         3031      
liter               2         3035      
littl               1         3037      
live                10        3038      
livinganddyingwithcovid1         3048      
lmao                1         3049      
lmaoo               1         3050      
local               1         3051      
lockdown            3         3052      
lol                 1         3055      
long                2         3056      
longcovid           1         3058      
longer              1         3059      
look                5         3060      
loosen              1         3065      
lord                1         3066      
loss                1         3067      
lost                4         3068      
lot                 1         3072      
louie               1         3073      
love                1         3074      
low                 1         3075      
lucki               1         3076      
lufthansa           1         3077      
ly                  1         3078      
mad                 1         3079      
made                3         3080      
madeira             4         3083      
magnitud            1         3087      
mahdi               1         3088      
mai                 5         3089      
mainli              1         3094      
maintain            1         3095      
major               3         3096      
majorli             1         3099      
make                11        3100      
maker               2         3111      
man                 1         3113      
manag               1         3114      
mandat              11        3115      
mandatori           2         3126      
mani                10        3128      
mania               4         3138      
mankind             1         3142      
march               3         3143      
mart                1         3146      
mask                7         3147      
mass                2         3154      
massi               1         3156      
matter              1         3157      
mayb                1         3158      
mayhem              1         3159      
mcneill             1         3160      
me                  13        3161      
mean                2         3174      
measur              3         3176      
media               3         3179      
medic               5         3182      
medicar             3         3187      
medicareforal       1         3190      
medicin             2         3191      
medium              1         3193      
meet                3         3194      
memo                1         3197      
mental              2         3198      
merci               1         3200      
merit               1         3201      
messag              1         3202      
met                 1         3203      
meter               1         3204      
miami               1         3205      
midnight            1         3206      
midterm             4         3207      
might               2         3211      
mild                1         3213      
million             6         3214      
mind                1         3220      
minist              1         3221      
minor               1         3222      
mishandl            1         3223      
misinform           1         3224      
miss                6         3225      
mistak              1         3231      
mistaken            1         3232      
moderna             1         3233      
modi                2         3234      
moham               4         3236      
moment              3         3240      
monei               1         3243      
monetari            1         3244      
monologu            1         3245      
monster             2         3246      
month               15        3248      
monthli             2         3263      
moon'               1         3265      
morbid              2         3266      
more                11        3268      
morn                1         3279      
morrison'           1         3280      
most                10        3281      
motion              1         3291      
motiv               2         3292      
move                8         3294      
mrna                1         3302      
msm                 1         3303      
msnbc               1         3304      
much                5         3305      
muffl               1         3310      
muhyiddin           1         3311      
munich              1         3312      
murder              1         3313      
muscl               1         3314      
must                1         3315      
my                  23        3316      
myocard             1         3339      
myself              1         3340      
mysteri             1         3341      
n                   1         3342      
n99                 1         3343      
name                1         3344      
nasser              3         3345      
natur               3         3348      
ndp                 1         3351      
need                7         3352      
neg                 2         3359      
netherland          1         3361      
never               5         3362      
new                 11        3367      
next                4         3378      
nh                  1         3382      
nikita              2         3383      
no                  17        3385      
nobodi              2         3402      
nobody'             1         3404      
noflee_covid_of_deatharriv1         3405      
nois                1         3406      
non                 1         3407      
none                2         3408      
nonsens             1         3410      
normal              9         3411      
not                 32        3420      
note                1         3452      
noth                4         3453      
now                 13        3457      
nowher              1         3470      
number              2         3471      
nurs                2         3473      
obtain              1         3475      
of                  122       3476      
off                 3         3598      
offic               1         3601      
offici              1         3602      
oh                  1         3603      
ok                  1         3604      
old                 1         3605      
olymp               1         3606      
omicron             2         3607      
on                  52        3609      
onc                 1         3661      
ongo                1         3662      
onli                7         3663      
onlin               1         3670      
ontario             1         3671      
ontario'            1         3672      
open                1         3673      
ophthalmologist     1         3674      
opinion             1         3675      
opportun            1         3676      
opposit             1         3677      
or                  17        3678      
orbit               1         3695      
order               2         3696      
organ               3         3698      
orgiast             1         3701      
origin              1         3702      
other               10        3703      
ott                 1         3713      
ottawa              1         3714      
our                 15        3715      
out                 10        3730      
outbreak            2         3740      
outcom              1         3742      
outnumb             1         3743      
outrag              1         3744      
outsid              2         3745      
over                15        3747      
overwhelmingli      1         3762      
ow                  1         3763      
own                 3         3764      
p.                  1         3767      
page                1         3768      
paid                1         3769      
pandem              4         3770      
par                 1         3774      
parent              2         3775      
parliament          2         3777      
parti               3         3779      
particip            2         3782      
partner             1         3784      
pass                2         3785      
passport            4         3787      
past                5         3791      
patient             3         3796      
peak                1         3799      
peopl               35        3800      
people'             2         3835      
per                 2         3837      
perfect             1         3839      
perman              4         3840      
perpetu             1         3844      
person              4         3845      
petit               1         3849      
pfizer              3         3850      
pfizer'             1         3853      
pharma              1         3854      
pharmaceut          1         3855      
pic                 1         3856      
pipe                2         3857      
pipelin             1         3859      
pl                  3         3860      
place               4         3863      
plai                2         3867      
plan                8         3869      
pleas               4         3877      
plexiglass          1         3881      
plu                 2         3882      
pm                  2         3884      
pm'                 2         3886      
pmq                 1         3888      
pneumonia           1         3889      
point               2         3890      
polic               1         3892      
polici              4         3893      
polio               2         3897      
polit               7         3899      
politician          6         3906      
poll                4         3912      
poor                1         3916      
popul               1         3917      
portal              1         3918      
posi                1         3919      
posit               14        3920      
possibl             3         3934      
post                2         3937      
potu                2         3939      
power               5         3941      
pox                 1         3946      
practic             1         3947      
prais               1         3948      
prayer              1         3949      
pre                 1         3950      
preciou             1         3951      
pregnanc            3         3952      
premier             1         3955      
premierscottmo      2         3956      
present             1         3958      
presid              1         3959      
press               1         3960      
pretend             4         3961      
pretti              1         3965      
previou             2         3966      
princ               7         3968      
princecharl         1         3975      
prior               3         3976      
priorit             1         3979      
prize               1         3980      
probabl             3         3981      
problem             2         3984      
product             2         3986      
prof                1         3988      
profession          1         3989      
program             2         3990      
progressive'        1         3992      
prolong             1         3993      
promis              1         3994      
promot              1         3995      
proof               3         3996      
propos              1         3999      
prosecut            1         4000      
protect             4         4001      
protest             6         4005      
protocol            2         4011      
prove               1         4013      
